block_threshold,blocked,reviewed,caught_fraud,missed_fraud,blocked_good,fraud_loss_inr,chargeback_fee_inr,false_block_loss_inr,review_cost_inr,total_cost_inr,do_nothing_cost_inr,net_saving_inr
0.01,12327,0,1640,9,10687,21752.72,13500.0,14100165.3884,0.0,14135418.1084,4139207.0232,-9996211.0852
0.015,10764,0,1636,13,9128,27573.04,19500.0,12086214.372960003,0.0,12133287.412960002,4139207.0232,-7994080.3897600025
0.0199,9821,0,1635,14,8186,28434.56,21000.0,10865342.153120002,0.0,10914776.713120002,4139207.0232,-6775569.689920003
0.0249,9099,0,1631,18,7468,38406.72,27000.0,9958448.099600002,0.0,10023854.819600003,4139207.0232,-5884647.796400003
0.0299,8551,0,1629,20,6922,43230.0,30000.0,9265525.0324,0.0,9338755.0324,4139207.0232,-5199548.009200001
0.0348,8135,0,1628,21,6507,44411.840000000004,31500.0,8695744.737680001,0.0,8771656.577680001,4139207.0232,-4632449.554480001
0.0398,7809,0,1624,25,6185,48393.840000000004,37500.0,8247870.416240001,0.0,8333764.256240001,4139207.0232,-4194557.233040001
0.0448,7513,0,1623,26,5890,48776.64,39000.0,7799269.441600001,0.0,7887046.081600001,4139207.0232,-3747839.058400001
0.0498,7268,0,1622,27,5646,49968.16,40500.0,7469947.75072,0.0,7560415.91072,4139207.0232,-3421208.88752
0.0547,7049,0,1621,28,5428,52729.6,42000.0,7216942.350800001,0.0,7311671.950800001,4139207.0232,-3172464.9276000005
0.0597,6897,0,1621,28,5276,52729.6,42000.0,7032430.801760001,0.0,7127160.401760001,4139207.0232,-2987953.3785600006
0.0647,6720,0,1621,28,5099,52729.6,42000.0,6811763.722400001,0.0,6906493.322400001,4139207.0232,-2767286.2992000007
0.0696,6573,0,1620,29,4953,53003.28,43500.0,6600018.785360001,0.0,6696522.065360001,4139207.0232,-2557315.042160001
0.0746,6460,0,1620,29,4840,53003.28,43500.0,6465055.069200002,0.0,6561558.349200002,4139207.0232,-2422351.3260000017
0.0796,6353,0,1618,31,4735,53958.96,46500.0,6326393.695440001,0.0,6426852.655440001,4139207.0232,-2287645.6322400006
0.0845,6260,0,1617,32,4643,56373.68,48000.0,6201441.6828000005,0.0,6305815.3628,4139207.0232,-2166608.3396
0.0895,6178,0,1617,32,4561,56373.68,48000.0,6083850.150560001,0.0,6188223.830560001,4139207.0232,-2049016.8073600004
0.0945,6094,0,1616,33,4478,56857.68,49500.0,5982426.47912,0.0,6088784.15912,4139207.0232,-1949577.1359199998
0.0995,6022,0,1616,33,4406,56857.68,49500.0,5895859.5696,0.0,6002217.2496,4139207.0232,-1863010.2263999996
0.1044,5964,0,1616,33,4348,56857.68,49500.0,5819899.82392,0.0,5926257.50392,4139207.0232,-1787050.4807199999
0.1094,5895,0,1615,34,4280,58934.48,51000.0,5705301.7476,0.0,5815236.227600001,4139207.0232,-1676029.2044000006
0.1144,5827,0,1614,35,4213,63262.32,52500.0,5599919.874640001,0.0,5715682.194640001,4139207.0232,-1576475.171440001
0.1193,5762,0,1613,36,4149,63760.4,54000.0,5504348.38408,0.0,5622108.784080001,4139207.0232,-1482901.7608800004
0.1243,5697,0,1612,37,4085,71199.92,55500.0,5369408.437120001,0.0,5496108.357120001,4139207.0232,-1356901.3339200006
0.1293,5650,0,1612,37,4038,71199.92,55500.0,5301092.87344,0.0,5427792.79344,4139207.0232,-1288585.77024
0.1342,5594,0,1610,39,3984,75875.36,58500.0,5241123.858880001,0.0,5375499.218880001,4139207.0232,-1236292.1956800013
0.1392,5546,0,1609,40,3937,77461.12,60000.0,5185249.101760001,0.0,5322710.221760001,4139207.0232,-1183503.1985600009
0.1442,5508,0,1608,41,3900,77464.42880000001,61500.0,5124660.930480001,0.0,5263625.35928,4139207.0232,-1124418.3360800003
