block_threshold,blocked,reviewed,caught_fraud,missed_fraud,blocked_good,fraud_loss_inr,chargeback_fee_inr,false_block_loss_inr,review_cost_inr,total_cost_inr,do_nothing_cost_inr,net_saving_inr
0.01,1489,0,274,1,1215,1350.8,1500.0,1664889.20416,0.0,1667740.00416,592339.5016000001,-1075400.50256
0.015,1258,0,274,1,984,1350.8,1500.0,1408220.2680000002,0.0,1411071.0680000002,592339.5016000001,-818731.5664000001
0.0199,1116,0,274,1,842,1350.8,1500.0,1215415.3939200002,0.0,1218266.1939200002,592339.5016000001,-625926.6923200001
0.0249,1009,0,274,1,735,1350.8,1500.0,1062678.14016,0.0,1065528.94016,592339.5016000001,-473189.4385599999
0.0299,966,0,272,3,694,2640.0,4500.0,989774.7059200001,0.0,996914.7059200001,592339.5016000001,-404575.20432
0.0348,918,0,272,3,646,2640.0,4500.0,905816.6208000001,0.0,912956.6208000001,592339.5016000001,-320617.1192000001
0.0398,886,0,272,3,614,2640.0,4500.0,860001.9428000002,0.0,867141.9428000002,592339.5016000001,-274802.4412000001
0.0448,859,0,272,3,587,2640.0,4500.0,808186.4336000001,0.0,815326.4336000001,592339.5016000001,-222986.93200000003
0.0498,836,0,272,3,564,2640.0,4500.0,775400.45128,0.0,782540.45128,592339.5016000001,-190200.94967999996
0.0547,818,0,272,3,546,2640.0,4500.0,738686.7415200002,0.0,745826.7415200002,592339.5016000001,-153487.23992000008
0.0597,801,0,272,3,529,2640.0,4500.0,709636.6804800001,0.0,716776.6804800001,592339.5016000001,-124437.17888000002
0.0647,780,0,272,3,508,2640.0,4500.0,682884.2602400001,0.0,690024.2602400001,592339.5016000001,-97684.75864000001
0.0696,763,0,272,3,491,2640.0,4500.0,651279.2832000001,0.0,658419.2832000001,592339.5016000001,-66079.78159999999
0.0746,755,0,272,3,483,2640.0,4500.0,644880.8329600001,0.0,652020.8329600001,592339.5016000001,-59681.33136000007
0.0796,740,0,272,3,468,2640.0,4500.0,633332.336,0.0,640472.336,592339.5016000001,-48132.834399999934
0.0845,723,0,272,3,451,2640.0,4500.0,607866.1680000001,0.0,615006.1680000001,592339.5016000001,-22666.666399999987
0.0895,712,0,272,3,440,2640.0,4500.0,596866.0370400001,0.0,604006.0370400001,592339.5016000001,-11666.535440000007
0.0945,704,0,272,3,432,2640.0,4500.0,588892.5879200002,0.0,596032.5879200002,592339.5016000001,-3693.0863200001186
0.0995,691,0,272,3,419,2640.0,4500.0,571491.4878400001,0.0,578631.4878400001,592339.5016000001,13708.013760000002
0.1044,680,0,272,3,408,2640.0,4500.0,552228.7825600001,0.0,559368.7825600001,592339.5016000001,32970.719039999996
0.1094,673,0,272,3,401,2640.0,4500.0,547137.01224,0.0,554277.01224,592339.5016000001,38062.48936000012
0.1144,664,0,272,3,392,2640.0,4500.0,535029.64424,0.0,542169.64424,592339.5016000001,50169.85736000002
0.1193,658,0,271,4,387,7505.52,6000.0,532301.10024,0.0,545806.6202400001,592339.5016000001,46532.88136
0.1243,650,0,271,4,379,7505.52,6000.0,528032.4067200001,0.0,541537.9267200001,592339.5016000001,50801.57487999997
0.1293,642,0,271,4,371,7505.52,6000.0,520747.28888000007,0.0,534252.80888,592339.5016000001,58086.69272000005
0.1342,637,0,271,4,366,7505.52,6000.0,516929.48944000003,0.0,530435.00944,592339.5016000001,61904.49216000002
0.1392,632,0,271,4,361,7505.52,6000.0,512937.1374400001,0.0,526442.6574400001,592339.5016000001,65896.84415999998
0.1442,626,0,271,4,355,7505.52,6000.0,504581.1534400001,0.0,518086.6734400001,592339.5016000001,74252.82815999998
0.1492,623,0,271,4,352,7505.52,6000.0,500471.59344,0.0,513977.11344000004,592339.5016000001,78362.38816000003
0.1541,621,0,271,4,350,7505.52,6000.0,498057.54544,0.0,511563.06544000003,592339.5016000001,80776.43616000004
0.1591,617,0,271,4,346,7505.52,6000.0,496035.1468800001,0.0,509540.6668800001,592339.5016000001,82798.83471999998
0.1641,615,0,271,4,344,7505.52,6000.0,488653.2268800001,0.0,502158.7468800001,592339.5016000001,90180.75471999997
0.169,604,0,271,4,333,7505.52,6000.0,478805.5927200001,0.0,492311.1127200001,592339.5016000001,100028.38887999998
0.174,600,0,271,4,329,7505.52,6000.0,475702.8567200001,0.0,489208.3767200001,592339.5016000001,103131.12487999996
0.179,596,0,269,6,327,16092.56,9000.0,472580.46472000005,0.0,497673.02472000004,592339.5016000001,94666.47688000003
0.1839,593,0,269,6,324,16092.56,9000.0,467970.04072000005,0.0,493062.60072000005,592339.5016000001,99276.90088000003
0.1889,589,0,269,6,320,16092.56,9000.0,465317.20872000005,0.0,490409.76872000005,592339.5016000001,101929.73288000003
0.1939,583,0,269,6,314,16092.56,9000.0,456783.68008,0.0,481876.24008,592339.5016000001,110463.26152000006
0.1989,579,0,269,6,310,16092.56,9000.0,453124.0240800001,0.0,478216.5840800001,592339.5016000001,114122.91751999996
0.2038,577,0,269,6,308,16092.56,9000.0,451236.32008000003,0.0,476328.88008000003,592339.5016000001,116010.62152000004
0.2088,576,0,269,6,307,16092.56,9000.0,446568.3840800001,0.0,471660.9440800001,592339.5016000001,120678.55751999997
0.2138,572,0,268,7,304,16808.0,10500.0,443344.8000800001,0.0,470652.8000800001,592339.5016000001,121686.70152
0.2187,569,0,268,7,301,16808.0,10500.0,437824.37608,0.0,465132.37608,592339.5016000001,127207.12552000006
0.2237,563,0,268,7,295,16808.0,10500.0,432749.8375200001,0.0,460057.8375200001,592339.5016000001,132281.66407999996
0.2287,561,0,268,7,293,16808.0,10500.0,432403.0984000001,0.0,459711.0984000001,592339.5016000001,132628.4032
0.2336,556,0,268,7,288,16808.0,10500.0,424780.21040000004,0.0,452088.21040000004,592339.5016000001,140251.29120000004
0.2386,553,0,268,7,285,16808.0,10500.0,422045.8424000001,0.0,449353.8424000001,592339.5016000001,142985.6592
0.2436,551,0,268,7,283,16808.0,10500.0,420281.89840000006,0.0,447589.89840000006,592339.5016000001,144749.6032
0.2486,548,0,268,7,280,16808.0,10500.0,414005.0824000001,0.0,441313.0824000001,592339.5016000001,151026.4192
0.2535,546,0,268,7,278,16808.0,10500.0,411090.89840000006,0.0,438398.89840000006,592339.5016000001,153940.6032
0.2585,543,0,268,7,275,16808.0,10500.0,406586.7624000001,0.0,433894.7624000001,592339.5016000001,158444.73919999995
0.2635,541,0,268,7,273,16808.0,10500.0,405766.3064000001,0.0,433074.3064000001,592339.5016000001,159265.19519999996
0.2684,538,0,267,8,271,17223.36,12000.0,404142.8664000001,0.0,433366.2264000001,592339.5016000001,158973.27519999997
0.2734,535,0,266,9,269,18839.04,13500.0,403314.4024000001,0.0,435653.44240000006,592339.5016000001,156686.05920000002
0.2784,534,0,266,9,268,18839.04,13500.0,401500.95440000005,0.0,433839.9944,592339.5016000001,158499.50720000005
0.2833,532,0,265,10,267,19669.76,15000.0,399961.23440000013,0.0,434630.99440000014,592339.5016000001,157708.50719999993
0.2883,530,0,265,10,265,19669.76,15000.0,397842.0264000001,0.0,432511.7864000001,592339.5016000001,159827.71519999998
0.2933,529,0,265,10,264,19669.76,15000.0,397391.3944000001,0.0,432061.1544000001,592339.5016000001,160278.34719999996
0.2983,528,0,264,11,264,20120.32,16500.0,397391.3944000001,0.0,434011.7144000001,592339.5016000001,158327.78719999996
0.3032,528,0,264,11,264,20120.32,16500.0,397391.3944000001,0.0,434011.7144000001,592339.5016000001,158327.78719999996
0.3082,527,0,264,11,263,20120.32,16500.0,395548.8264000001,0.0,432169.1464000001,592339.5016000001,160170.3552
0.3132,522,0,264,11,258,20120.32,16500.0,385516.98640000005,0.0,422137.30640000006,592339.5016000001,170202.19520000002
0.3181,521,0,264,11,257,20120.32,16500.0,384515.98640000005,0.0,421136.30640000006,592339.5016000001,171203.19520000002
0.3231,520,0,264,11,256,20120.32,16500.0,380878.17040000006,0.0,417498.49040000007,592339.5016000001,174841.0112
0.3281,515,0,263,12,252,21147.28,18000.0,379902.6504000001,0.0,419049.93040000007,592339.5016000001,173289.5712
0.333,514,0,263,12,251,21147.28,18000.0,372578.24240000005,0.0,411725.5224,592339.5016000001,180613.97920000006
0.338,514,0,263,12,251,21147.28,18000.0,372578.24240000005,0.0,411725.5224,592339.5016000001,180613.97920000006
0.343,512,0,263,12,249,21147.28,18000.0,366205.3304000001,0.0,405352.6104000001,592339.5016000001,186986.89119999995
0.3479,508,0,263,12,245,21147.28,18000.0,360489.0744000001,0.0,399636.35440000007,592339.5016000001,192703.1472
