block_threshold,blocked,reviewed,caught_fraud,missed_fraud,blocked_good,fraud_loss_inr,chargeback_fee_inr,false_block_loss_inr,review_cost_inr,total_cost_inr,do_nothing_cost_inr,net_saving_inr
0.01,1276,0,275,0,1001,0.0,0.0,1317973.04184,0.0,1317973.04184,592339.5016000001,-725633.54024
0.015,1097,0,275,0,822,0.0,0.0,1099513.67344,0.0,1099513.67344,592339.5016000001,-507174.17183999997
0.0199,980,0,275,0,705,0.0,0.0,945229.0120000002,0.0,945229.0120000002,592339.5016000001,-352889.51040000014
0.0249,921,0,275,0,646,0.0,0.0,876467.0387200001,0.0,876467.0387200001,592339.5016000001,-284127.53712
0.0299,872,0,275,0,597,0.0,0.0,822815.3169600001,0.0,822815.3169600001,592339.5016000001,-230475.81536
0.0348,834,0,275,0,559,0.0,0.0,762084.38488,0.0,762084.38488,592339.5016000001,-169744.88327999995
0.0398,778,0,275,0,503,0.0,0.0,687932.78008,0.0,687932.78008,592339.5016000001,-95593.27847999998
0.0448,744,0,275,0,469,0.0,0.0,632240.17584,0.0,632240.17584,592339.5016000001,-39900.674239999964
0.0498,718,0,275,0,443,0.0,0.0,609516.0271200001,0.0,609516.0271200001,592339.5016000001,-17176.525520000025
0.0547,695,0,275,0,420,0.0,0.0,582976.78712,0.0,582976.78712,592339.5016000001,9362.714480000082
0.0597,675,0,275,0,400,0.0,0.0,556014.5791200001,0.0,556014.5791200001,592339.5016000001,36324.92247999995
0.0647,666,0,275,0,391,0.0,0.0,544464.85912,0.0,544464.85912,592339.5016000001,47874.64248000004
0.0696,659,0,275,0,384,0.0,0.0,536009.13912,0.0,536009.13912,592339.5016000001,56330.36248000013
0.0746,652,0,275,0,377,0.0,0.0,525683.9151200001,0.0,525683.9151200001,592339.5016000001,66655.58647999994
0.0796,647,0,275,0,372,0.0,0.0,518868.89600000007,0.0,518868.89600000007,592339.5016000001,73470.60560000001
0.0845,639,0,275,0,364,0.0,0.0,508708.01072,0.0,508708.01072,592339.5016000001,83631.49088000006
0.0895,636,0,275,0,361,0.0,0.0,504913.67472000007,0.0,504913.67472000007,592339.5016000001,87425.82688000001
0.0945,632,0,275,0,357,0.0,0.0,500962.81144,0.0,500962.81144,592339.5016000001,91376.69016000006
0.0995,627,0,275,0,352,0.0,0.0,495374.49416000006,0.0,495374.49416000006,592339.5016000001,96965.00744000002
0.1044,624,0,275,0,349,0.0,0.0,492083.20616000006,0.0,492083.20616000006,592339.5016000001,100256.29544000002
0.1094,619,0,275,0,344,0.0,0.0,484679.44616,0.0,484679.44616,592339.5016000001,107660.05544000008
0.1144,616,0,275,0,341,0.0,0.0,481596.36616000003,0.0,481596.36616000003,592339.5016000001,110743.13544000004
0.1193,613,0,275,0,338,0.0,0.0,477635.31816,0.0,477635.31816,592339.5016000001,114704.18344000005
0.1243,611,0,275,0,336,0.0,0.0,475548.87016000005,0.0,475548.87016000005,592339.5016000001,116790.63144000003
0.1293,609,0,275,0,334,0.0,0.0,474916.28912,0.0,474916.28912,592339.5016000001,117423.2124800001
0.1342,609,0,275,0,334,0.0,0.0,474916.28912,0.0,474916.28912,592339.5016000001,117423.2124800001
0.1392,606,0,275,0,331,0.0,0.0,473106.48112000007,0.0,473106.48112000007,592339.5016000001,119233.02048
0.1442,603,0,275,0,328,0.0,0.0,467913.6571200001,0.0,467913.6571200001,592339.5016000001,124425.84447999997
0.1492,602,0,275,0,327,0.0,0.0,466900.28112000006,0.0,466900.28112000006,592339.5016000001,125439.22048000002
0.1541,598,0,275,0,323,0.0,0.0,461278.91992,0.0,461278.91992,592339.5016000001,131060.58168000006
0.1591,596,0,275,0,321,0.0,0.0,460531.11104,0.0,460531.11104,592339.5016000001,131808.3905600001
0.1641,593,0,275,0,318,0.0,0.0,455909.76704,0.0,455909.76704,592339.5016000001,136429.73456000007
0.169,590,0,275,0,315,0.0,0.0,453280.23104000004,0.0,453280.23104000004,592339.5016000001,139059.27056000003
0.174,586,0,275,0,311,0.0,0.0,449714.48704000004,0.0,449714.48704000004,592339.5016000001,142625.01456000004
0.179,584,0,275,0,309,0.0,0.0,447089.31904000003,0.0,447089.31904000003,592339.5016000001,145250.18256000004
0.1839,583,0,275,0,308,0.0,0.0,446485.80704,0.0,446485.80704,592339.5016000001,145853.6945600001
0.1889,581,0,275,0,306,0.0,0.0,444995.59103999997,0.0,444995.59103999997,592339.5016000001,147343.9105600001
0.1939,579,0,275,0,304,0.0,0.0,444274.14304,0.0,444274.14304,592339.5016000001,148065.35856000008
