block_threshold,blocked,reviewed,caught_fraud,missed_fraud,blocked_good,fraud_loss_inr,chargeback_fee_inr,false_block_loss_inr,review_cost_inr,total_cost_inr,do_nothing_cost_inr,net_saving_inr
0.01,7220,0,1644,5,5576,13747.36,7500.0,7206435.927600001,0.0,7227683.287600001,4139207.0232,-3088476.264400001
0.015,6571,0,1644,5,4927,13747.36,7500.0,6296664.46864,0.0,6317911.82864,4139207.0232,-2178704.80544
0.0199,6165,0,1643,6,4522,14938.88,9000.0,5768766.70552,0.0,5792705.58552,4139207.0232,-1653498.56232
0.0249,5854,0,1641,8,4213,15632.108800000002,12000.0,5405365.223440001,0.0,5432997.33224,4139207.0232,-1293790.3090400002
0.0299,5581,0,1640,9,3941,18201.7088,13500.0,5060228.700800001,0.0,5091930.409600001,4139207.0232,-952723.3864000007
0.0348,5363,0,1639,10,3724,18685.7088,15000.0,4804345.8881600015,0.0,4838031.596960002,4139207.0232,-698824.5737600015
0.0398,5168,0,1637,12,3531,21712.908799999997,18000.0,4530270.013360001,0.0,4569982.9221600015,4139207.0232,-430775.8989600013
0.0448,5020,0,1637,12,3383,21712.908799999997,18000.0,4306380.776880001,0.0,4346093.685680001,4139207.0232,-206886.66248000087
0.0498,4893,0,1636,13,3257,22210.9888,19500.0,4152105.8560800003,0.0,4193816.84488,4139207.0232,-54609.82168000005
0.0547,4783,0,1636,13,3147,22210.9888,19500.0,4001883.4564800006,0.0,4043594.4452800006,4139207.0232,95612.5779199996
0.0597,4678,0,1635,14,3043,22593.7888,21000.0,3873134.7127200007,0.0,3916728.501520001,4139207.0232,222478.5216799993
0.0647,4580,0,1635,14,2945,22593.7888,21000.0,3729572.974400001,0.0,3773166.7632000013,4139207.0232,366040.25999999885
0.0696,4472,0,1635,14,2837,22593.7888,21000.0,3581325.129200001,0.0,3624918.918000001,4139207.0232,514288.1051999992
0.0746,4378,0,1634,15,2744,24028.1888,22500.0,3465043.400000001,0.0,3511571.588800001,4139207.0232,627635.4343999992
0.0796,4291,0,1634,15,2657,24028.1888,22500.0,3368930.3793600006,0.0,3415458.5681600007,4139207.0232,723748.4550399994
0.0845,4207,0,1633,16,2574,24293.948800000002,24000.0,3263249.909920001,0.0,3311543.858720001,4139207.0232,827663.1644799993
0.0895,4142,0,1633,16,2509,24293.948800000002,24000.0,3190683.605200001,0.0,3238977.554000001,4139207.0232,900229.4691999992
0.0945,4099,0,1633,16,2466,24293.948800000002,24000.0,3127052.211920001,0.0,3175346.160720001,4139207.0232,963860.8624799992
0.0995,4066,0,1633,16,2433,24293.948800000002,24000.0,3096737.4620000003,0.0,3145031.4108,4139207.0232,994175.6124
0.1044,4030,0,1633,16,2397,24293.948800000002,24000.0,3055295.3267200007,0.0,3103589.2755200006,4139207.0232,1035617.7476799996
0.1094,3996,0,1633,16,2363,24293.948800000002,24000.0,3019724.6206400003,0.0,3068018.56944,4139207.0232,1071188.45376
0.1144,3971,0,1633,16,2338,24293.948800000002,24000.0,2991729.0748800007,0.0,3040023.0236800006,4139207.0232,1099183.9995199996
0.1193,3943,0,1633,16,2310,24293.948800000002,24000.0,2955231.9087200006,0.0,3003525.8575200005,4139207.0232,1135681.1656799996
0.1243,3916,0,1633,16,2283,24293.948800000002,24000.0,2897551.74072,0.0,2945845.68952,4139207.0232,1193361.3336800002
