block_threshold,blocked,reviewed,caught_fraud,missed_fraud,blocked_good,fraud_loss_inr,chargeback_fee_inr,false_block_loss_inr,review_cost_inr,total_cost_inr,do_nothing_cost_inr,net_saving_inr
0.01,68258,0,3141,72,65117,8622.4072,1800.0,7275693.1156,0.0,7286115.5228,509291.4104,-6776824.1124
0.015,58515,0,3085,128,55430,19942.4016,3200.0,6443553.982320002,0.0,6466696.383920003,509291.4104,-5957404.973520002
0.0199,51056,0,3033,180,48023,27307.7288,4500.0,5756780.02536,0.0,5788587.75416,509291.4104,-5279296.34376
0.0249,44891,0,2973,240,41918,32225.626399999997,6000.0,5133951.353440001,0.0,5172176.979840001,509291.4104,-4662885.569440001
0.0299,39981,0,2915,298,37066,43477.0864,7450.0,4601960.454000001,0.0,4652887.540400001,509291.4104,-4143596.1300000013
0.0348,36143,0,2865,348,33278,50062.698399999994,8700.0,4156018.1208000006,0.0,4214780.819200001,509291.4104,-3705489.408800001
0.0398,32851,0,2806,407,30045,60182.364,10175.0,3772728.49408,0.0,3843085.85808,509291.4104,-3333794.44768
0.0448,30154,0,2762,451,27392,64415.700800000006,11275.0,3448499.032160001,0.0,3524189.732960001,509291.4104,-3014898.322560001
0.0498,27868,0,2727,486,25141,69830.6928,12150.0,3180695.5689600008,0.0,3262676.2617600006,509291.4104,-2753384.8513600007
0.0547,25882,0,2677,536,23205,76516.3696,13400.0,2954986.8348000003,0.0,3044903.2044,509291.4104,-2535611.794
0.0597,24148,0,2644,569,21504,80362.8848,14225.0,2745099.9212,0.0,2839687.8060000003,509291.4104,-2330396.3956000004
0.0647,22588,0,2612,601,19976,84309.4032,15025.0,2566642.5512,0.0,2665976.9544,509291.4104,-2156685.544
0.0696,21284,0,2575,638,18709,89384.27519999999,15950.0,2410100.6675200006,0.0,2515434.9427200006,509291.4104,-2006143.5323200007
0.0746,20011,0,2544,669,17467,95041.4344,16725.0,2270177.75712,0.0,2381944.1915200003,509291.4104,-1872652.7811200004
0.0796,18910,0,2517,696,16393,98763.5704,17400.0,2141085.47016,0.0,2257249.04056,509291.4104,-1747957.6301600002
0.0845,17940,0,2490,723,15450,102384.0136,18075.0,2029885.8871200003,0.0,2150344.9007200003,509291.4104,-1641053.4903200003
0.0895,16999,0,2452,761,14547,110348.7264,19025.0,1924034.35952,0.0,2053408.08592,509291.4104,-1544116.67552
0.0945,16111,0,2413,800,13698,116407.1656,20000.0,1813797.72392,0.0,1950204.88952,509291.4104,-1440913.47912
0.0995,15354,0,2384,829,12970,120402.29519999998,20725.0,1727216.0651200002,0.0,1868343.3603200002,509291.4104,-1359051.9499200003
0.1044,14678,0,2352,861,12326,123976.61760000001,21525.0,1655395.2542400004,0.0,1800896.8718400004,509291.4104,-1291605.4614400005
0.1094,14034,0,2339,874,11695,125703.97839999999,21850.0,1570999.5756000003,0.0,1718553.5540000002,509291.4104,-1209262.1436000003
0.1144,13383,0,2318,895,11065,127964.5928,22375.0,1494123.0449600003,0.0,1644462.6377600003,509291.4104,-1135171.2273600004
0.1193,12811,0,2296,917,10515,130056.37040000001,22925.0,1425063.5308,0.0,1578044.9012000002,509291.4104,-1068753.4908000003
0.1243,12310,0,2273,940,10037,132468.16,23500.0,1368990.4592000002,0.0,1524958.6192,509291.4104,-1015667.2088000001
0.1293,11799,0,2242,971,9557,138529.468,24275.0,1308789.8824,0.0,1471594.3503999999,509291.4104,-962302.94
0.1342,11376,0,2218,995,9158,143247.9664,24875.0,1263977.4492800003,0.0,1432100.4156800003,509291.4104,-922809.0052800004
0.1392,10942,0,2190,1023,8752,146226.212,25575.0,1212085.4564,0.0,1383886.6684,509291.4104,-874595.2580000001
0.1442,10515,0,2170,1043,8345,147778.36479999998,26075.0,1153603.7167200001,0.0,1327457.08152,509291.4104,-818165.6711200001
0.1492,10176,0,2154,1059,8022,149464.78799999997,26475.0,1110151.26768,0.0,1286091.05568,509291.4104,-776799.64528
0.1541,9850,0,2141,1072,7709,150570.5256,26800.0,1068305.82768,0.0,1245676.3532800002,509291.4104,-736384.9428800002
0.1591,9527,0,2113,1100,7414,154352.4664,27500.0,1029592.5931200001,0.0,1211445.0595200001,509291.4104,-702153.6491200002
0.1641,9232,0,2099,1114,7133,155531.15600000002,27850.0,992114.3668800001,0.0,1175495.52288,509291.4104,-666204.1124800001
0.169,8953,0,2075,1138,6878,159424.61920000002,28450.0,956480.2301600002,0.0,1144354.84936,509291.4104,-635063.4389600002
0.174,8679,0,2054,1159,6625,162542.2392,28975.0,924583.7036800003,0.0,1116100.9428800002,509291.4104,-606809.5324800003
