block_threshold,blocked,reviewed,caught_fraud,missed_fraud,blocked_good,fraud_loss_inr,chargeback_fee_inr,false_block_loss_inr,review_cost_inr,total_cost_inr,do_nothing_cost_inr,net_saving_inr
0.01,68682,0,3145,68,65537,6930.1936000000005,1700.0,7331757.669600001,0.0,7340387.8632000005,509291.4104,-6831096.4528
0.015,58633,0,3091,122,55542,15656.0008,3050.0,6483641.00384,0.0,6502347.00464,509291.4104,-5993055.59424
0.0199,50981,0,3033,180,47948,26883.912,4500.0,5779387.5921600005,0.0,5810771.50416,509291.4104,-5301480.09376
0.0249,44928,0,2970,243,41958,35555.9864,6075.0,5174957.234720001,0.0,5216588.221120001,509291.4104,-4707296.81072
0.0299,40017,0,2897,316,37120,47392.584800000004,7900.0,4641612.699360002,0.0,4696905.284160002,509291.4104,-4187613.873760002
0.0348,36163,0,2841,372,33322,52625.566399999996,9300.0,4187846.251680001,0.0,4249771.8180800015,509291.4104,-3740480.4076800016
0.0398,32851,0,2778,435,30073,63095.736,10875.0,3805092.294640001,0.0,3879063.030640001,509291.4104,-3369771.620240001
0.0448,29988,0,2713,500,27275,70897.4728,12500.0,3465763.741440001,0.0,3549161.214240001,509291.4104,-3039869.803840001
0.0498,27574,0,2666,547,24908,76021.4752,13675.0,3165356.878320001,0.0,3255053.3535200013,509291.4104,-2745761.9431200013
0.0547,25603,0,2630,583,22973,81123.3544,14575.0,2922892.1904000007,0.0,3018590.5448000007,509291.4104,-2509299.134400001
0.0597,23898,0,2586,627,21312,86951.9904,15675.0,2718664.04264,0.0,2821291.03304,509291.4104,-2311999.62264
0.0647,22444,0,2550,663,19894,91834.78480000001,16575.0,2551307.2457600003,0.0,2659717.0305600003,509291.4104,-2150425.6201600004
0.0696,21174,0,2517,696,18657,95241.26479999999,17400.0,2406982.20672,0.0,2519623.47152,509291.4104,-2010332.0611200002
0.0746,19996,0,2482,731,17514,98595.29680000001,18275.0,2265183.83,0.0,2382054.1268,509291.4104,-1872762.7164000003
0.0796,18873,0,2445,768,16428,103318.336,19200.0,2133151.6679200004,0.0,2255670.0039200005,509291.4104,-1746378.5935200006
0.0845,17920,0,2411,802,15509,107148.69440000001,20050.0,2030609.4972800002,0.0,2157808.19168,509291.4104,-1648516.7812800002
0.0895,16962,0,2382,831,14580,111158.8632,20775.0,1912271.6267200005,0.0,2044205.4899200005,509291.4104,-1534914.0795200006
0.0945,16145,0,2353,860,13792,115576.10239999999,21500.0,1820207.1888000004,0.0,1957283.2912000003,509291.4104,-1447991.8808000004
0.0995,15372,0,2329,884,13043,119515.5456,22100.0,1744120.6983200002,0.0,1885736.2439200003,509291.4104,-1376444.8335200003
0.1044,14670,0,2307,906,12363,123542.96239999999,22650.0,1668699.8036800004,0.0,1814892.7660800004,509291.4104,-1305601.3556800005
0.1094,14057,0,2288,925,11769,125419.0344,23125.0,1598910.5350400002,0.0,1747454.5694400002,509291.4104,-1238163.1590400003
0.1144,13433,0,2257,956,11176,128626.03600000001,23900.0,1519234.2401600003,0.0,1671760.2761600004,509291.4104,-1162468.8657600004
0.1193,12814,0,2232,981,10582,131545.96399999998,24525.0,1447109.6712800004,0.0,1603180.6352800003,509291.4104,-1093889.2248800003
0.1243,12240,0,2207,1006,10033,134566.06240000002,25150.0,1384106.4764800004,0.0,1543822.5388800004,509291.4104,-1034531.1284800004
0.1293,11751,0,2190,1023,9561,136822.61119999998,25575.0,1324104.8984800002,0.0,1486502.5096800001,509291.4104,-977211.0992800002
0.1342,11267,0,2164,1049,9103,141913.948,26225.0,1262453.3448800002,0.0,1430592.2928800003,509291.4104,-921300.8824800004
0.1392,10869,0,2147,1066,8722,143044.88,26650.0,1210698.7984000002,0.0,1380393.6784,509291.4104,-871102.2680000002
0.1442,10483,0,2132,1081,8351,145365.22,27025.0,1153088.36552,0.0,1325478.58552,509291.4104,-816187.17512
0.1492,10090,0,2119,1094,7971,147996.2,27350.0,1102265.60808,0.0,1277611.8080799999,509291.4104,-768320.3976799999
0.1541,9770,0,2097,1116,7673,151461.8512,27900.0,1067621.6532800002,0.0,1246983.5044800001,509291.4104,-737692.0940800002
0.1591,9443,0,2083,1130,7360,153549.176,28250.0,1022658.12376,0.0,1204457.29976,509291.4104,-695165.8893600001
0.1641,9161,0,2057,1156,7104,156905.672,28900.0,988054.6312,0.0,1173860.3032,509291.4104,-664568.8928
0.169,8860,0,2038,1175,6822,162436.64800000002,29375.0,949792.8221600001,0.0,1141604.47016,509291.4104,-632313.0597600001
0.174,8572,0,2024,1189,6548,165761.3584,29725.0,914058.1413600002,0.0,1109544.4997600003,509291.4104,-600253.0893600003
0.179,8340,0,2008,1205,6332,168278.62480000002,30125.0,887329.0972000001,0.0,1085732.722,509291.4104,-576441.3116000001
0.1839,8058,0,1989,1224,6069,171706.8232,30600.0,852434.0479200003,0.0,1054740.8711200003,509291.4104,-545449.4607200003
0.1889,7839,0,1970,1243,5869,174645.26639999996,31075.0,822911.8133599999,0.0,1028632.0797599999,509291.4104,-519340.6693599999
0.1939,7615,0,1960,1253,5655,176188.2408,31325.0,795148.7616800001,0.0,1002662.0024800001,509291.4104,-493370.59208000015
0.1989,7409,0,1936,1277,5473,179378.54880000002,31925.0,767130.2111200001,0.0,978433.7599200001,509291.4104,-469142.3495200001
0.2038,7204,0,1918,1295,5286,183293.72160000002,32375.0,741949.6520800001,0.0,957618.3736800002,509291.4104,-448326.9632800002
