block_threshold,blocked,reviewed,caught_fraud,missed_fraud,blocked_good,fraud_loss_inr,chargeback_fee_inr,false_block_loss_inr,review_cost_inr,total_cost_inr,do_nothing_cost_inr,net_saving_inr
0.01,9923,0,1642,7,8281,16373.28,10500.0,10837859.04656,0.0,10864732.32656,4139207.0232,-6725525.30336
0.015,8597,0,1642,7,6955,16373.28,10500.0,8965060.737360002,0.0,8991934.017360002,4139207.0232,-4852726.994160002
0.0199,8055,0,1639,10,6416,20116.8,15000.0,8165972.19256,0.0,8201088.99256,4139207.0232,-4061881.96936
0.0249,7648,0,1638,11,6010,22332.64,16500.0,7627541.099359999,0.0,7666373.739359999,4139207.0232,-3527166.716159999
0.0299,7289,0,1637,12,5652,22335.9488,18000.0,7185067.016400001,0.0,7225402.965200001,4139207.0232,-3086195.942000001
0.0348,6973,0,1637,12,5336,22335.9488,18000.0,6807841.0181599995,0.0,6848176.96696,4139207.0232,-2708969.9437599997
0.0398,6693,0,1636,13,5057,24932.8288,19500.0,6463950.897040001,0.0,6508383.725840001,4139207.0232,-2369176.702640001
0.0448,6493,0,1636,13,4857,24932.8288,19500.0,6237557.631760002,0.0,6281990.460560002,4139207.0232,-2142783.437360002
0.0498,6319,0,1635,14,4684,25744.1888,21000.0,6021728.534640001,0.0,6068472.723440001,4139207.0232,-1929265.7002400006
0.0547,6197,0,1635,14,4562,25744.1888,21000.0,5822983.522720002,0.0,5869727.711520001,4139207.0232,-1730520.6883200011
0.0597,6090,0,1635,14,4455,25744.1888,21000.0,5674862.902800001,0.0,5721607.091600001,4139207.0232,-1582400.0684000007
0.0647,6007,0,1635,14,4372,25744.1888,21000.0,5588562.470400001,0.0,5635306.659200001,4139207.0232,-1496099.6360000004
0.0696,5926,0,1634,15,4292,26009.9488,22500.0,5464029.319840001,0.0,5512539.268640001,4139207.0232,-1373332.2454400011
0.0746,5849,0,1632,17,4217,26890.8288,25500.0,5370997.086,0.0,5423387.9148,4139207.0232,-1284180.8916000002
0.0796,5766,0,1632,17,4134,26890.8288,25500.0,5281285.274720001,0.0,5333676.103520001,4139207.0232,-1194469.080320001
0.0845,5695,0,1631,18,4064,28476.588799999998,27000.0,5193005.97816,0.0,5248482.56696,4139207.0232,-1109275.5437600003
0.0895,5644,0,1631,18,4013,28476.588799999998,27000.0,5116196.5036,0.0,5171673.0924,4139207.0232,-1032466.0692000003
